,gvkey_focal,year,gvkey1,gvkey2,score,gvkey_peer,focal_ticker,focal_company_name,focal_cik,focal_primary_sic,peer_ticker,peer_company_name
19497,001690,2011,1690,12141,0.0146,012141,AAPL,Apple Inc.,0000320193,3571,MSFT,Microsoft Corp.
19529,001690,2011,1690,160329,0.0064,160329,AAPL,Apple Inc.,0000320193,3571,GOOGL,Alphabet Inc.
19541,002184,2011,2184,5680,0.0248,005680,BBY,Best Buy Co. Inc.,0000764478,5731,HD,Home Depot Inc.
19543,002184,2011,2184,6829,0.004,006829,BBY,Best Buy Co. Inc.,0000764478,5731,LOW,Lowes Companies Inc.
19549,002184,2011,2184,31587,0.0283,031587,BBY,Best Buy Co. Inc.,0000764478,5731,DLTR,Dollar Tree Inc.
19556,003813,2011,3813,6502,0.0518,006502,TGT,Target Corp.,0000027419,5331,KR,Kroger Co.
19559,003813,2011,3813,11259,0.0433,011259,TGT,Target Corp.,0000027419,5331,WMT,Walmart Inc.
19584,004016,2011,4016,31587,0.0571,031587,DG,Dollar General Corp.,0000029534,5331,DLTR,Dollar Tree Inc.
19613,005680,2011,5680,2184,0.0248,002184,HD,Home Depot Inc.,0000354950,5251,BBY,Best Buy Co. Inc.
19615,005680,2011,5680,6829,0.052,006829,HD,Home Depot Inc.,0000354950,5251,LOW,Lowes Companies Inc.
19617,006502,2011,6502,3813,0.0518,003813,KR,Kroger Co.,0000056873,5411,TGT,Target Corp.
19625,006502,2011,6502,11259,0.047,011259,KR,Kroger Co.,0000056873,5411,WMT,Walmart Inc.
19634,006829,2011,6829,2184,0.004,002184,LOW,Lowes Companies Inc.,0000060667,5251,BBY,Best Buy Co. Inc.
19635,006829,2011,6829,5680,0.052,005680,LOW,Lowes Companies Inc.,0000060667,5251,HD,Home Depot Inc.
19658,007241,2011,7241,11264,0.0277,011264,CVS,CVS Health Corp.,0000064803,5912,WBA,Walgreens Boots Alliance Inc.
19778,011259,2011,11259,3813,0.0433,003813,WMT,Walmart Inc.,0000104169,5331,TGT,Target Corp.
19781,011259,2011,11259,6502,0.047,006502,WMT,Walmart Inc.,0000104169,5331,KR,Kroger Co.
19800,011264,2011,11264,7241,0.0277,007241,WBA,Walgreens Boots Alliance Inc.,0001618921,5912,CVS,CVS Health Corp.
19884,012141,2011,12141,1690,0.0146,001690,MSFT,Microsoft Corp.,0000789019,7372,AAPL,Apple Inc.
